COMMON_NAME,GENUS,SPECIES,"Shade Tolerance Index",SPCD
sugarberry,Celtis,laevigata,0.5,461
hackberry,Celtis,occidentalis,0.5,462
"netleaf hackberry",Celtis,laevigata,0.75,463
"eastern redbud",Cercis,canadensis,0.75,471
"curlleaf mountain-mahogany",Cercocarpus,ledifolius,0.5,475
yellowwood,Cladrastis,kentukea,0.5,481
"dogwood spp.",Cornus,spp.,1,490
"flowering dogwood",Cornus,florida,1,491
"Pacific dogwood",Cornus,nuttallii,1,492
"hawthorn spp.",Crataegus,spp.,1,500
"cockspur hawthorn",Crataegus,crus-galli,1,501
"downy hawthorn",Crataegus,mollis,1,502
"Brainerd's hawthorn",Crataegus,brainerdii,1,503
"pear hawthorn",Crataegus,calpodendron,1,504
"fireberry hawthorn",Crataegus,chrysocarpa,1,505
"broadleaf hawthorn",Crataegus,dilatata,1,506
"fanleaf hawthorn",Crataegus,flabellata,1,507
"oneseed hawthorn",Crataegus,monogyna,1,508
"scarlet hawthorn",Crataegus,pedicellata,1,509
"eucalyptus spp.",Eucalyptus,spp.,0,510
"Tasmanian bluegum",Eucalyptus,globulus,0.25,511
"river redgum",Eucalyptus,camaldulensis,0,512
"grand eucalyptus",Eucalyptus,grandis,0,513
swampmahogany,Eucalyptus,robusta,0.25,514
"persimmon spp.",Diospyros,spp.,1,520
"common persimmon",Diospyros,virginiana,1,521
"Texas persimmon",Diospyros,texana,1,522
"Anacua knockaway",Ehretia,anacua,0.5,523
"American beech",Fagus,grandifolia,1,531
"ash spp.",Fraxinus,spp.,0.5,540
"white ash",Fraxinus,americana,0.25,541
"Oregon ash",Fraxinus,latifolia,0.5,542
"black ash",Fraxinus,nigra,0.25,543
"green ash",Fraxinus,pennsylvanica,0.75,544
"pumpkin ash",Fraxinus,profunda,0.5,545
"blue ash",Fraxinus,quadrangulata,0.5,546
"velvet ash",Fraxinus,velutina,0.5,547
"Carolina ash",Fraxinus,caroliniana,0.5,548
"Texas ash",Fraxinus,texensis,0.5,549
"honeylocust spp.",Gleditsia,spp.,0.5,550
waterlocust,Gleditsia,aquatica,0.5,551
honeylocust,Gleditsia,triacanthos,0.25,552
loblolly-bay,Gordonia,lasianthus,0.75,555
"ginkgo, maidenhair tree",Ginkgo,biloba,0.5,561
"Kentucky coffeetree",Gymnocladus,dioicus,0,571
"silverbell spp.",Halesia,spp.,1,580
"Carolina silverbell",Halesia,carolina,0.75,581
"two-wing silverbell",Halesia,diptera,1,582
"little silverbell",Halesia,parviflora,1,583
"American holly",Ilex,opaca,1,591
"walnut spp.",Juglans,spp.,0,600
butternut,Juglans,cinerea,0.25,601
"black walnut",Juglans,nigra,0.25,602
"northern California black walnut",Juglans,hindsii,0,603
"southern California black walnut",Juglans,californica,0,604
"Texas walnut",Juglans,microcarpa,0,605
"Arizona walnut",Juglans,major,0,606
sweetgum,Liquidambar,styraciflua,0.25,611
yellow-poplar,Liriodendron,tulipifera,0.25,621
tanoak,Lithocarpus,densiflorus,0.75,631
Osage-orange,Maclura,pomifera,0.25,641
"magnolia spp.",Magnolia,spp.,0.5,650
cucumbertree,Magnolia,acuminata,0.5,651
"southern magnolia",Magnolia,grandiflora,0.75,652
sweetbay,Magnolia,virginiana,0.5,653
"bigleaf magnolia",Magnolia,macrophylla,1,654
"mountain or Fraser magnolia",Magnolia,fraseri,0.5,655
"pyramid magnolia",Magnolia,pyramidata,0.5,657
"umbrella magnolia",Magnolia,tripetala,0.5,658
"apple spp.",Malus,spp.,0.5,660
"Oregon crab apple",Malus,fusca,0.5,661
"southern crab apple",Malus,angustifolia,0.5,662
"sweet crab apple",Malus,coronaria,0.5,663
"prairie crab apple",Malus,ioensis,0.5,664
"mulberry spp.",Morus,spp.,1,680
"white mulberry",Morus,alba,1,681
"red mulberry",Morus,rubra,0.75,682
"Texas mulberry",Morus,microphylla,1,683
"black mulberry",Morus,nigra,1,684
"tupelo spp.",Nyssa,spp.,1,690
"water tupelo",Nyssa,aquatica,0.25,691
"Ogeechee tupelo",Nyssa,ogeche,0.25,692
blackgum,Nyssa,sylvatica,0.75,693
"swamp tupelo",Nyssa,biflora,0.25,694
"eastern hophornbeam",Ostrya,virginiana,0.75,701
sourwood,Oxydendrum,arboreum,0.75,711
"paulownia, empress-tree",Paulownia,tomentosa,0.25,712
"bay spp.",Persea,spp.,1,720
redbay,Persea,borbonia,0.75,721
"water-elm, planertree",Planera,aquatica,0.5,722
"sycamore spp.",Platanus,spp.,0,729
"California sycamore",Platanus,racemosa,0,730
"American sycamore",Platanus,occidentalis,0.5,731
"Arizona sycamore",Platanus,wrightii,0,732
"cottonwood and poplar spp.",Populus,spp.,0,740
"balsam poplar",Populus,balsamifera,0,741
"eastern cottonwood",Populus,deltoides,0,742
